topicName,time,distinct_id,screen_height,spaceId,notificationActorType,city,initial_referring_domain,event,currentSpaceId,browser,usingStandaloneApp,mediaDescription,region,id,search,mp_country_code,feedItemTargetTypeId,commentId,feedItemVerbId,referrer,screen_width,feedItemTargetType,os,referrer,contentId,feedItemActorId,mediaUrl,notificationActorId,notificationDescription,created,device,notificationVerbId,notificationTargetType,mediaType,initial_referrer,url,feedItemDescription,mediaProviderName,path,feedItemActorType,mediaTitle,current_url,postId,updatedAt,contentType,name,notificationId,commentMessage,referring_domain,feedItemId,mp_lib,postMessage,topicId,title,mediaProviderUrl,contentName,hasFinishedOnboarding,browser_version,notificationTargetTypeId,lib_version,hasSetPassword
,1452855258,5693844d2bea66f99e5af2e6,900,,,Stavanger,$direct,Opened intercom,569384db2bea66f99e5af2e7,Chrome,False,,Rogaland Fylke,5693844d2bea66f99e5af2e6,,NO,,,,,1600,,Windows,,,,,,,2016-01-10T21:05:41,,,,,$direct,,,,,,,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics//feed,,2016-01-11T12:23:48,,,,,,,web,,,,,,True,47,,2.7.2,True
,1452856592,5693844d2bea66f99e5af2e6,900,,,Stavanger,$direct,Logged in,569384db2bea66f99e5af2e7,Chrome,False,,Rogaland Fylke,5693844d2bea66f99e5af2e6,,NO,,,,,1600,,Windows,,,,,,,2016-01-10T21:05:41,,,,,$direct,,,,,,,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics//feed,,2016-01-11T12:23:48,,,,,,,web,,,,,,True,47,,2.7.2,True
,1452856592,5693844d2bea66f99e5af2e6,900,,,Stavanger,$direct,Viewed /spaces/569384db2bea66f99e5af2e7/topics//feed Page,569384db2bea66f99e5af2e7,Chrome,False,,Rogaland Fylke,5693844d2bea66f99e5af2e6,,NO,,,,,1600,,Windows,,,,,,,2016-01-10T21:05:41,,,,,$direct,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics//feed,,,/spaces/569384db2bea66f99e5af2e7/topics//feed,,,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics//feed,,2016-01-11T12:23:48,,/spaces/569384db2bea66f99e5af2e7/topics//feed,,,,,web,,,Trive - Master anything,,,True,47,,2.7.2,True
,1452857551,569368472bea66f99e5af2a5,768,,,Moss,$direct,Viewed /auth/login Page,56936bd32bea66f99e5af2a7,Chrome,False,,Østfold,569368472bea66f99e5af2a5,,NO,,,,,1366,,Windows,,,,,,,2016-01-10T21:05:41,,,,,$direct,https://my.triveapp.com/auth/login,,,/auth/login,,,https://my.triveapp.com/auth/login,,2016-01-11T14:50:00,,/auth/login,,,,,web,,,Trive - Master anything,,,True,47,,2.7.2,True
,1452857583,569368472bea66f99e5af2a5,768,,,Moss,$direct,Logged out,56936bd32bea66f99e5af2a7,Chrome,False,,Østfold,569368472bea66f99e5af2a5,,NO,,,,,1366,,Windows,,,,,,,2016-01-10T21:05:41,,,,,$direct,,,,,,,https://my.triveapp.com/auth/login,,2016-01-11T14:50:00,,,,,,,web,,,,,,True,47,,2.7.2,True
,1452857614,569368472bea66f99e5af2a5,768,,,Moss,$direct,Logged in through login-screen,56936bd32bea66f99e5af2a7,Chrome,False,,Østfold,569368472bea66f99e5af2a5,,NO,,,,,1366,,Windows,,,,,,,2016-01-10T21:05:41,,,,,$direct,,,,,,,https://my.triveapp.com/auth/login,,2016-01-11T14:50:00,,,,,,,web,,,,,,True,47,,2.7.2,True
,1452857614,569368472bea66f99e5af2a5,768,,,Moss,$direct,Logged in,56936bd32bea66f99e5af2a7,Chrome,False,,Østfold,569368472bea66f99e5af2a5,,NO,,,,,1366,,Windows,,,,,,,2016-01-10T21:05:41,,,,,$direct,,,,,,,https://my.triveapp.com/spaces/56936bd32bea66f99e5af2a7/topics//feed,,2016-01-11T14:50:00,,,,,,,web,,,,,,True,47,,2.7.2,True
,1452857614,569368472bea66f99e5af2a5,768,,,Moss,$direct,Viewed /spaces/56936bd32bea66f99e5af2a7/topics//feed Page,56936bd32bea66f99e5af2a7,Chrome,False,,Østfold,569368472bea66f99e5af2a5,,NO,,,,,1366,,Windows,,,,,,,2016-01-10T21:05:41,,,,,$direct,https://my.triveapp.com/auth/login,,,/auth/login,,,https://my.triveapp.com/auth/login,,2016-01-11T14:50:00,,/spaces/56936bd32bea66f99e5af2a7/topics//feed,,,,,web,,,Trive - Master anything,,,True,47,,2.7.2,True
Foiler til hvert kapittel,1452859362,5693844d2bea66f99e5af2e6,900,,,Stavanger,$direct,Selected topic,569384db2bea66f99e5af2e7,Chrome,False,,Rogaland Fylke,5693844d2bea66f99e5af2e6,,NO,,,,,1600,,Windows,,,,,,,2016-01-10T21:05:41,,,,,$direct,,,,,,,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics//feed,,2016-01-11T12:23:48,,,,,,,web,,56976cb88b0c7f2700041dc5,,,,True,47,,2.7.2,True
,1452859362,5693844d2bea66f99e5af2e6,900,,,Stavanger,$direct,Viewed /spaces/569384db2bea66f99e5af2e7/topics/foiler-til-hvert-kapittel/feed Page,569384db2bea66f99e5af2e7,Chrome,False,,Rogaland Fylke,5693844d2bea66f99e5af2e6,,NO,,,,,1600,,Windows,,,,,,,2016-01-10T21:05:41,,,,,$direct,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics//feed,,,/spaces/569384db2bea66f99e5af2e7/topics//feed,,,https://my.triveapp.com/spaces/569384db2bea66f99e5af2e7/topics//feed,,2016-01-11T12:23:48,,/spaces/569384db2bea66f99e5af2e7/topics/foiler-til-hvert-kapittel/feed,,,,,web,,,Trive - Master anything,,,True,47,,2.7.2,True
